filename,tot_pixels,zero_pixels_all_bands,zero_pixels_all_bands_perc,zero_pixels_B1,zero_pixels_B1_perc,zero_pixels_B2,zero_pixels_B2_perc,zero_pixels_B3,zero_pixels_B3_perc,zero_pixels_B4,zero_pixels_B4_perc,zero_pixels_B5,zero_pixels_B5_perc,zero_pixels_B6,zero_pixels_B6_perc,zero_pixels_B7,zero_pixels_B7_perc,zero_pixels_B8,zero_pixels_B8_perc,zero_pixels_B8A,zero_pixels_B8A_perc,zero_pixels_B9,zero_pixels_B9_perc,zero_pixels_B11,zero_pixels_B11_perc,zero_pixels_B12,zero_pixels_B12_perc
geojson_205232,5695,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_258046,1764,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_259261,16536,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_263956,1862,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_364487,3240,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_363051,4095,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_227295,2340,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_238761,3348,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_221858,1404,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123,1,0.07122507122507123
geojson_207663,3432,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_253628,2320,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_364463,4824,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_351994,5246,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_231691,2173,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948,1,0.04601932811780948
geojson_225856,2340,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736,1,0.042735042735042736
geojson_246341,38528,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_364368,1462,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_263720,2184,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_207551,2070,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_226449,2700,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_208874,59110,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_245811,2750,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geojson_250694,4128,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039,1,0.02422480620155039
geojson_264954,8576,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
