Epoch,Split,Loss,Precision_1,Recall_1,F1_1,Precision_0,Recall_0,F1_0,TN,FP,FN,TP,Time
18,val,0.4464,0.5287,0.6458,0.5814,0.9415,0.9083,0.9246,79502,8027,4940,9005,0:00:16.868208
18,test,1.3539,0.2807,0.2720,0.2763,0.8404,0.8461,0.8433,68711,12496,13048,4876,0:00:16.657419
19,train,0.2670,0.6703,0.8044,0.7313,0.9672,0.9358,0.9512,326782,22425,11088,45598,0:03:18.100419
19,val,0.4579,0.5144,0.6511,0.5748,0.9420,0.9021,0.9216,78958,8571,4865,9080,0:00:16.910233
19,test,1.4139,0.2606,0.2556,0.2581,0.8364,0.8399,0.8381,68205,13002,13342,4582,0:00:16.312167
20,train,0.2501,0.6920,0.8202,0.7506,0.9699,0.9407,0.9551,328513,20694,10194,46492,0:03:13.987288
20,val,0.5015,0.4848,0.6399,0.5516,0.9395,0.8917,0.9150,78046,9483,5022,8923,0:00:10.724816
20,test,1.4831,0.2668,0.2684,0.2676,0.8383,0.8372,0.8377,67986,13221,13114,4810,0:00:10.694607
21,train,0.2333,0.7088,0.8361,0.7672,0.9726,0.9443,0.9582,329739,19468,9290,47396,0:02:44.347216
21,val,0.4370,0.5811,0.6678,0.6214,0.9458,0.9233,0.9344,80815,6714,4633,9312,0:00:17.558549
21,test,1.6598,0.2804,0.2420,0.2598,0.8376,0.8630,0.8501,70078,11129,13587,4337,0:00:16.792744
22,train,0.2186,0.7243,0.8485,0.7815,0.9747,0.9476,0.9610,330901,18306,8586,48100,0:03:17.229181
22,val,0.5374,0.5663,0.5862,0.5760,0.9337,0.9285,0.9311,81268,6261,5771,8174,0:00:17.770099
22,test,1.8121,0.2868,0.2381,0.2602,0.8379,0.8693,0.8533,70595,10612,13656,4268,0:00:18.122361
23,train,0.2026,0.7418,0.8620,0.7974,0.9770,0.9513,0.9640,332202,17005,7824,48862,0:03:21.240717
23,val,0.5036,0.5792,0.6205,0.5991,0.9388,0.9282,0.9335,81242,6287,5292,8653,0:00:17.009655
23,test,1.8819,0.2673,0.2178,0.2400,0.8341,0.8683,0.8509,70511,10696,14021,3903,0:00:16.078395
24,train,0.1875,0.7591,0.8753,0.8130,0.9792,0.9549,0.9669,333458,15749,7069,49617,0:03:06.643150
24,val,0.5655,0.5346,0.5809,0.5568,0.9323,0.9194,0.9258,80477,7052,5844,8101,0:00:17.147155
24,test,1.8450,0.2860,0.2496,0.2665,0.8389,0.8624,0.8505,70035,11172,13450,4474,0:00:16.508153
25,train,0.1744,0.7753,0.8863,0.8271,0.9811,0.9583,0.9696,334648,14559,6447,50239,0:03:24.077463
25,val,0.6143,0.5370,0.5783,0.5569,0.9320,0.9205,0.9262,80574,6955,5880,8065,0:00:12.894633
25,test,1.9947,0.2853,0.2503,0.2667,0.8389,0.8616,0.8501,69965,11242,13437,4487,0:00:13.419569
26,train,0.1608,0.7901,0.8960,0.8397,0.9827,0.9614,0.9719,335715,13492,5898,50788,0:03:16.139658
26,val,0.5342,0.5820,0.6345,0.6071,0.9409,0.9274,0.9341,81174,6355,5097,8848,0:00:10.325460
26,test,2.0454,0.2705,0.2285,0.2477,0.8353,0.8640,0.8494,70161,11046,13829,4095,0:00:10.270289
