Epoch,Loss,Precision,Recall,F1,TN,FP,FN,TP
0,0.3714026816902924,0.14285714285714285,1.770789063606743e-05,3.541139184475646e-05,349415,6,56471,1
1,0.3645378524063843,0.0,0.0,0.0,349421,0,56472,0
2,0.36213798885228926,0.0,0.0,0.0,349421,0,56472,0
3,0.36014257404904787,0.0,0.0,0.0,349421,0,56472,0
4,0.35838347759287237,0.0,0.0,0.0,349421,0,56472,0
