Epoch,Split,Loss,Precision_1,Recall_1,F1_1,Precision_0,Recall_0,F1_0,TN,FP,FN,TP,Time
1,train,0.4297,0.3631,0.0085,0.0167,0.8636,0.9976,0.9258,349385,835,55197,476,0:02:25.389961
1,val,0.4440,0.2849,0.0033,0.0065,0.8528,0.9986,0.9200,86393,123,14909,49,0:00:10.381357
1,test,0.5370,0.5385,0.0027,0.0054,0.8195,0.9995,0.9006,81165,42,17875,49,0:00:10.240282
2,train,0.4177,0.4403,0.0251,0.0475,0.8652,0.9949,0.9256,348444,1776,54276,1397,0:02:30.963174
2,val,0.4447,0.2319,0.0032,0.0063,0.8528,0.9982,0.9198,86357,159,14910,48,0:00:10.799988
2,test,0.5184,0.4141,0.0023,0.0045,0.8194,0.9993,0.9005,81149,58,17883,41,0:00:10.522944
3,train,0.4104,0.4716,0.0481,0.0873,0.8676,0.9914,0.9254,347220,3000,52996,2677,0:02:33.438332
3,val,0.5112,0.2503,0.1701,0.2025,0.8640,0.9119,0.8873,78897,7619,12414,2544,0:00:10.848248
3,test,0.5574,0.2697,0.0837,0.1278,0.8245,0.9500,0.8828,77143,4064,16423,1501,0:00:10.626861
4,train,0.4015,0.4910,0.0892,0.1509,0.8719,0.9853,0.9251,345073,5147,50708,4965,0:02:34.538879
4,val,0.4905,0.2876,0.1210,0.1703,0.8619,0.9482,0.9030,82033,4483,13148,1810,0:00:11.089176
4,test,0.5720,0.3374,0.0701,0.1161,0.8253,0.9696,0.8917,78739,2468,16667,1257,0:00:10.725126
5,train,0.3919,0.5015,0.1375,0.2158,0.8771,0.9783,0.9249,342613,7607,48020,7653,0:02:33.993483
5,val,0.5101,0.2555,0.0711,0.1113,0.8572,0.9642,0.9075,83415,3101,13894,1064,0:00:10.978479
5,test,0.5755,0.3286,0.0513,0.0888,0.8235,0.9768,0.8936,79327,1880,17004,920,0:00:10.833640
6,train,0.3818,0.5237,0.1902,0.2791,0.8831,0.9725,0.9257,340591,9629,45084,10589,0:02:34.152227
6,val,0.4854,0.1963,0.0581,0.0897,0.8548,0.9589,0.9039,82959,3557,14089,869,0:00:11.049196
6,test,0.5858,0.2681,0.0600,0.0980,0.8229,0.9639,0.8878,78273,2934,16849,1075,0:00:10.711450
7,train,0.3708,0.5340,0.2362,0.3276,0.8885,0.9672,0.9262,338741,11479,42521,13152,0:02:33.857277
7,val,0.5122,0.2772,0.1407,0.1867,0.8631,0.9365,0.8983,81026,5490,12853,2105,0:00:10.959229
7,test,0.5678,0.3287,0.1398,0.1962,0.8315,0.9370,0.8811,76088,5119,15418,2506,0:00:10.770446
8,train,0.3608,0.5454,0.2771,0.3675,0.8934,0.9633,0.9270,337363,12857,40245,15428,0:02:34.735090
8,val,0.5049,0.2786,0.1985,0.2318,0.8680,0.9111,0.8890,78828,7688,11989,2969,0:00:11.133325
8,test,0.6000,0.2887,0.1760,0.2187,0.8326,0.9043,0.8669,73434,7773,14769,3155,0:00:10.795751
9,train,0.3507,0.5595,0.3154,0.4034,0.8982,0.9605,0.9283,336394,13826,38111,17562,0:02:34.821489
9,val,0.5087,0.2533,0.1818,0.2117,0.8651,0.9073,0.8857,78497,8019,12238,2720,0:00:11.093280
9,test,0.6065,0.2933,0.1485,0.1972,0.8305,0.9210,0.8734,74792,6415,15262,2662,0:00:10.670715
10,train,0.3402,0.5734,0.3556,0.4390,0.9034,0.9579,0.9299,335492,14728,35875,19798,0:02:33.695032
10,val,0.4996,0.2612,0.1239,0.1680,0.8611,0.9394,0.8986,81274,5242,13105,1853,0:00:10.950846
10,test,0.5986,0.3010,0.1117,0.1629,0.8278,0.9428,0.8816,76558,4649,15922,2002,0:00:10.728013
11,train,0.3303,0.5869,0.3881,0.4672,0.9077,0.9566,0.9315,335010,15210,34068,21605,0:02:33.503711
11,val,0.5391,0.2547,0.2320,0.2428,0.8692,0.8827,0.8759,76364,10152,11488,3470,0:00:11.066006
11,test,0.6540,0.2414,0.1759,0.2035,0.8284,0.8780,0.8525,71300,9907,14772,3152,0:00:10.768072
12,train,0.3199,0.5935,0.4232,0.4941,0.9123,0.9539,0.9326,334079,16141,32111,23562,0:02:33.520911
12,val,0.5481,0.2501,0.1502,0.1876,0.8626,0.9222,0.8914,79781,6735,12712,2246,0:00:10.929668
12,test,0.6475,0.3016,0.1355,0.1870,0.8299,0.9307,0.8774,75582,5625,15495,2429,0:00:10.712300
13,train,0.3091,0.6102,0.4580,0.5233,0.9171,0.9535,0.9350,333932,16288,30173,25500,0:02:34.288062
13,val,0.5768,0.2473,0.1828,0.2102,0.8648,0.9038,0.8839,78191,8325,12223,2735,0:00:11.006802
13,test,0.6594,0.2776,0.1818,0.2197,0.8322,0.8956,0.8627,72730,8477,14666,3258,0:00:10.605840
14,train,0.2993,0.6205,0.4864,0.5453,0.9211,0.9527,0.9366,333656,16564,28595,27078,0:02:34.283278
14,val,0.6291,0.2421,0.1487,0.1843,0.8620,0.9195,0.8898,79552,6964,12733,2225,0:00:11.197243
14,test,0.6906,0.2885,0.1619,0.2074,0.8313,0.9119,0.8698,74053,7154,15023,2901,0:00:10.652496
15,train,0.2900,0.6353,0.5137,0.5681,0.9250,0.9531,0.9388,333804,16416,27071,28602,0:02:33.265867
15,val,0.6111,0.2253,0.1149,0.1522,0.8589,0.9317,0.8938,80605,5911,13239,1719,0:00:11.117278
15,test,0.6836,0.2634,0.1246,0.1692,0.8269,0.9231,0.8724,74961,6246,15690,2234,0:00:10.675523
16,train,0.2795,0.6404,0.5397,0.5857,0.9286,0.9518,0.9401,333350,16870,25628,30045,0:02:33.644922
16,val,0.6606,0.2469,0.1185,0.1601,0.8602,0.9375,0.8972,81112,5404,13186,1772,0:00:11.120822
16,test,0.7490,0.2987,0.1411,0.1917,0.8302,0.9269,0.8759,75270,5937,15395,2529,0:00:10.745656
17,train,0.2699,0.6539,0.5666,0.6072,0.9325,0.9523,0.9423,333525,16695,24127,31546,0:02:32.902728
17,val,0.6079,0.2680,0.2697,0.2688,0.8736,0.8726,0.8731,75496,11020,10924,4034,0:00:10.986013
17,test,0.7456,0.2904,0.2386,0.2620,0.8383,0.8714,0.8545,70761,10446,13648,4276,0:00:10.689978
18,train,0.2605,0.6659,0.5908,0.6261,0.9361,0.9529,0.9444,333713,16507,22780,32893,0:02:32.811012
18,val,0.6505,0.2435,0.1792,0.2065,0.8643,0.9037,0.8836,78185,8331,12277,2681,0:00:10.846482
18,test,0.7462,0.2854,0.1833,0.2232,0.8329,0.8987,0.8646,72980,8227,14639,3285,0:00:10.885596
19,train,0.2500,0.6774,0.6142,0.6443,0.9396,0.9535,0.9465,333938,16282,21478,34195,0:02:33.288693
19,val,0.6742,0.2307,0.2066,0.2180,0.8653,0.8809,0.8730,76214,10302,11868,3090,0:00:10.938450
19,test,0.7689,0.2888,0.2455,0.2654,0.8388,0.8666,0.8525,70373,10834,13524,4400,0:00:10.805227
20,train,0.2411,0.6863,0.6323,0.6582,0.9423,0.9540,0.9481,334126,16094,20471,35202,0:02:33.173885
20,val,0.7002,0.2343,0.1753,0.2005,0.8634,0.9009,0.8817,77945,8571,12336,2622,0:00:11.081148
20,test,0.8313,0.2704,0.1625,0.2030,0.8301,0.9032,0.8651,73347,7860,15011,2913,0:00:10.629454
21,train,0.2317,0.6989,0.6547,0.6761,0.9457,0.9552,0.9504,334519,15701,19226,36447,0:02:33.082374
21,val,0.6760,0.2328,0.1580,0.1883,0.8621,0.9100,0.8854,78727,7789,12594,2364,0:00:11.070145
21,test,0.8191,0.2699,0.1616,0.2022,0.8300,0.9035,0.8652,73372,7835,15027,2897,0:00:10.785922
22,train,0.2224,0.7081,0.6759,0.6916,0.9488,0.9557,0.9523,334709,15511,18046,37627,0:02:32.936336
22,val,0.7502,0.2283,0.1666,0.1926,0.8623,0.9026,0.8820,78091,8425,12466,2492,0:00:10.919707
22,test,0.9124,0.2458,0.1552,0.1903,0.8276,0.8949,0.8599,72672,8535,15142,2782,0:00:10.861462
23,train,0.2133,0.7214,0.6940,0.7075,0.9517,0.9574,0.9545,335299,14921,17034,38639,0:02:34.164598
23,val,0.7435,0.2244,0.1909,0.2063,0.8636,0.8859,0.8746,76644,9872,12102,2856,0:00:12.207647
23,test,0.8491,0.2608,0.2039,0.2289,0.8324,0.8724,0.8519,70845,10362,14269,3655,0:00:11.535807
24,train,0.2057,0.7297,0.7083,0.7188,0.9538,0.9583,0.9561,335612,14608,16241,39432,0:02:33.081162
24,val,0.7487,0.2408,0.2053,0.2216,0.8660,0.8881,0.8769,76833,9683,11887,3071,0:00:10.951177
24,test,0.8608,0.2739,0.1956,0.2282,0.8330,0.8856,0.8585,71915,9292,14418,3506,0:00:11.105057
25,train,0.1953,0.7432,0.7291,0.7361,0.9571,0.9600,0.9585,336196,14024,15083,40590,0:02:33.617902
25,val,0.8266,0.2475,0.1534,0.1894,0.8627,0.9194,0.8901,79542,6974,12664,2294,0:00:10.950398
25,test,0.9265,0.2828,0.1680,0.2108,0.8315,0.9060,0.8671,73572,7635,14913,3011,0:00:10.626738
26,train,0.1871,0.7538,0.7423,0.7480,0.9591,0.9615,0.9603,336725,13495,14346,41327,0:02:32.858137
26,val,0.7961,0.2453,0.2042,0.2229,0.8663,0.8914,0.8787,77118,9398,11903,3055,0:00:10.848369
26,test,0.9664,0.2687,0.2161,0.2395,0.8341,0.8702,0.8518,70668,10539,14051,3873,0:00:10.696063
