Epoch,Split,Loss,Precision_1,Recall_1,F1_1,Precision_0,Recall_0,F1_0,TN,FP,FN,TP,Time
1,train,0.4255,0.3900,0.0186,0.0355,0.8645,0.9954,0.9253,348603,1617,54639,1034,0:02:11.659314
1,val,0.4585,0.1845,0.0041,0.0081,0.8527,0.9968,0.9192,86242,274,14896,62,0:00:09.110182
1,test,0.5349,0.2931,0.0057,0.0112,0.8196,0.9970,0.8996,80961,246,17822,102,0:00:08.864042
2,train,0.4092,0.4749,0.0648,0.1141,0.8693,0.9886,0.9251,346229,3991,52064,3609,0:02:15.196119
2,val,0.4944,0.2992,0.0391,0.0692,0.8556,0.9842,0.9154,85146,1370,14373,585,0:00:09.251478
2,test,0.5520,0.2994,0.0215,0.0401,0.8207,0.9889,0.8970,80306,901,17539,385,0:00:09.250283
3,train,0.3970,0.4890,0.1161,0.1877,0.8747,0.9807,0.9247,343465,6755,49209,6464,0:02:20.273580
3,val,0.5042,0.2698,0.0603,0.0986,0.8568,0.9718,0.9107,84075,2441,14056,902,0:00:09.777670
3,test,0.5745,0.3045,0.0495,0.0851,0.8229,0.9751,0.8926,79181,2026,17037,887,0:00:09.340152
4,train,0.3843,0.5142,0.1766,0.2629,0.8815,0.9735,0.9252,340928,9292,45839,9834,0:02:23.210380
4,val,0.4775,0.2344,0.1281,0.1657,0.8602,0.9277,0.8927,80258,6258,13042,1916,0:00:09.989059
4,test,0.5592,0.2398,0.1148,0.1552,0.8248,0.9197,0.8697,74687,6520,15867,2057,0:00:10.108608
5,train,0.3709,0.5377,0.2372,0.3291,0.8886,0.9676,0.9264,338870,11350,42470,13203,0:02:24.078312
5,val,0.5032,0.2429,0.0574,0.0928,0.8560,0.9691,0.9091,83842,2674,14100,858,0:00:09.866276
5,test,0.5899,0.3167,0.0641,0.1066,0.8244,0.9695,0.8910,78728,2479,16775,1149,0:00:09.389274
6,train,0.3566,0.5497,0.2960,0.3848,0.8957,0.9615,0.9274,336722,13498,39194,16479,0:02:24.031975
6,val,0.5312,0.2880,0.1346,0.1834,0.8630,0.9425,0.9010,81540,4976,12945,2013,0:00:09.865207
6,test,0.6117,0.3016,0.1261,0.1778,0.8291,0.9355,0.8791,75973,5234,15664,2260,0:00:09.832101
7,train,0.3409,0.5717,0.3545,0.4376,0.9032,0.9578,0.9297,335433,14787,35937,19736,0:02:24.551415
7,val,0.5272,0.2099,0.1114,0.1455,0.8579,0.9275,0.8913,80245,6271,13292,1666,0:00:09.770596
7,test,0.6201,0.2636,0.1053,0.1505,0.8256,0.9351,0.8770,75936,5271,16037,1887,0:00:09.695560
8,train,0.3252,0.5910,0.4087,0.4832,0.9104,0.9550,0.9322,334477,15743,32922,22751,0:02:24.235537
8,val,0.5636,0.2493,0.2730,0.2606,0.8722,0.8579,0.8650,74220,12296,10875,4083,0:00:09.883698
8,test,0.6423,0.2933,0.2740,0.2833,0.8421,0.8543,0.8481,69375,11832,13013,4911,0:00:09.705824
9,train,0.3102,0.6109,0.4553,0.5218,0.9168,0.9539,0.9350,334073,16147,30324,25349,0:02:23.465734
9,val,0.6137,0.2116,0.0836,0.1199,0.8566,0.9461,0.8991,81856,4660,13707,1251,0:00:09.748704
9,test,0.7111,0.3060,0.1144,0.1665,0.8283,0.9427,0.8818,76557,4650,15874,2050,0:00:09.671823
10,train,0.2943,0.6300,0.5010,0.5582,0.9232,0.9532,0.9380,333840,16380,27779,27894,0:02:23.919117
10,val,0.6413,0.2549,0.1313,0.1733,0.8614,0.9336,0.8961,80775,5741,12994,1964,0:00:09.948839
10,test,0.7158,0.3009,0.1414,0.1924,0.8303,0.9275,0.8762,75318,5889,15389,2535,0:00:09.536532
11,train,0.2785,0.6488,0.5446,0.5921,0.9294,0.9531,0.9411,333811,16409,25355,30318,0:02:23.977839
11,val,0.6452,0.2453,0.1459,0.1830,0.8620,0.9224,0.8912,79801,6715,12775,2183,0:00:09.996171
11,test,0.7279,0.2755,0.1630,0.2048,0.8305,0.9054,0.8663,73524,7683,15003,2921,0:00:09.526985
12,train,0.2632,0.6611,0.5819,0.6190,0.9348,0.9526,0.9436,333616,16604,23277,32396,0:02:23.957369
12,val,0.7107,0.2443,0.1425,0.1800,0.8617,0.9238,0.8917,79921,6595,12826,2132,0:00:09.940499
12,test,0.8059,0.3058,0.1694,0.2180,0.8331,0.9151,0.8722,74315,6892,14888,3036,0:00:09.551245
13,train,0.2479,0.6823,0.6199,0.6496,0.9404,0.9541,0.9472,334151,16069,21163,34510,0:02:23.758226
13,val,0.6795,0.2320,0.1541,0.1852,0.8618,0.9118,0.8861,78885,7631,12653,2305,0:00:10.062335
13,test,0.7918,0.2775,0.1611,0.2039,0.8305,0.9074,0.8673,73688,7519,15036,2888,0:00:09.516814
14,train,0.2338,0.6987,0.6511,0.6741,0.9451,0.9554,0.9502,334589,15631,19425,36248,0:02:23.592922
14,val,0.6912,0.2490,0.2287,0.2384,0.8685,0.8807,0.8746,76198,10318,11537,3421,0:00:09.846348
14,test,0.8857,0.2548,0.2207,0.2365,0.8329,0.8575,0.8450,69635,11572,13968,3956,0:00:09.595413
15,train,0.2199,0.7148,0.6802,0.6971,0.9495,0.9569,0.9532,335113,15107,17806,37867,0:02:23.562372
15,val,0.8088,0.2403,0.3094,0.2705,0.8744,0.8309,0.8521,71888,14628,10330,4628,0:00:09.727614
15,test,0.9588,0.2589,0.2756,0.2670,0.8378,0.8259,0.8318,67071,14136,12985,4939,0:00:09.649173
16,train,0.2057,0.7320,0.7088,0.7202,0.9539,0.9587,0.9563,335771,14449,16211,39462,0:02:23.574622
16,val,0.8843,0.2388,0.1544,0.1876,0.8622,0.9149,0.8878,79153,7363,12648,2310,0:00:09.929902
16,test,0.9504,0.2848,0.1683,0.2116,0.8316,0.9067,0.8676,73632,7575,14907,3017,0:00:09.618111
17,train,0.1932,0.7469,0.7336,0.7402,0.9578,0.9605,0.9591,336377,13843,14833,40840,0:02:23.460312
17,val,0.7787,0.2445,0.1989,0.2194,0.8658,0.8938,0.8796,77324,9192,11983,2975,0:00:09.905522
17,test,0.8936,0.2775,0.1873,0.2237,0.8326,0.8923,0.8615,72464,8743,14566,3358,0:00:09.636923
18,train,0.1815,0.7601,0.7552,0.7577,0.9611,0.9621,0.9616,336952,13268,13628,42045,0:02:23.367824
18,val,0.8641,0.2431,0.2127,0.2269,0.8668,0.8855,0.8761,76614,9902,11777,3181,0:00:10.089088
18,test,0.9937,0.2673,0.1810,0.2159,0.8313,0.8905,0.8598,72312,8895,14679,3245,0:00:09.641186
19,train,0.1694,0.7759,0.7773,0.7766,0.9646,0.9643,0.9644,337720,12500,12400,43273,0:02:23.484365
19,val,0.8700,0.2347,0.2084,0.2208,0.8657,0.8825,0.8741,76353,10163,11841,3117,0:00:10.084302
19,test,1.0097,0.2679,0.2043,0.2318,0.8331,0.8767,0.8544,71198,10009,14262,3662,0:00:09.778975
20,train,0.1593,0.7869,0.7944,0.7906,0.9673,0.9658,0.9665,338240,11980,11448,44225,0:02:23.721618
20,val,0.8731,0.2537,0.1839,0.2132,0.8653,0.9065,0.8854,78424,8092,12207,2751,0:00:10.014375
20,test,1.0464,0.2824,0.1832,0.2223,0.8327,0.8973,0.8638,72864,8343,14640,3284,0:00:09.645142
21,train,0.1487,0.7990,0.8113,0.8051,0.9699,0.9676,0.9687,338857,11363,10504,45169,0:02:23.815267
21,val,0.9024,0.2590,0.2278,0.2424,0.8692,0.8873,0.8782,76768,9748,11550,3408,0:00:09.873340
21,test,1.1362,0.2723,0.2061,0.2346,0.8337,0.8784,0.8555,71335,9872,14230,3694,0:00:09.595989
22,train,0.1379,0.8135,0.8285,0.8209,0.9727,0.9698,0.9712,339645,10575,9549,46124,0:02:24.108686
22,val,0.9566,0.2274,0.2445,0.2356,0.8677,0.8564,0.8620,74093,12423,11301,3657,0:00:09.999634
22,test,1.0958,0.2664,0.2357,0.2501,0.8355,0.8567,0.8460,69572,11635,13699,4225,0:00:09.502003
23,train,0.1294,0.8256,0.8409,0.8332,0.9746,0.9718,0.9732,340331,9889,8856,46817,0:02:23.953763
23,val,0.9874,0.2485,0.1832,0.2109,0.8649,0.9042,0.8841,78232,8284,12218,2740,0:00:10.011581
23,test,1.1385,0.2904,0.2112,0.2445,0.8358,0.8861,0.8602,71960,9247,14139,3785,0:00:09.496737
24,train,0.1203,0.8359,0.8551,0.8454,0.9769,0.9733,0.9751,340872,9348,8065,47608,0:02:24.015213
24,val,1.0466,0.2426,0.2002,0.2194,0.8658,0.8919,0.8787,77165,9351,11963,2995,0:00:09.977068
24,test,1.2677,0.2598,0.1868,0.2173,0.8310,0.8826,0.8560,71670,9537,14576,3348,0:00:09.694689
25,train,0.1123,0.8472,0.8666,0.8568,0.9787,0.9752,0.9769,341518,8702,7424,48249,0:02:25.156233
25,val,1.1311,0.2277,0.1772,0.1993,0.8630,0.8961,0.8792,77526,8990,12308,2650,0:00:09.892662
25,test,1.3075,0.2801,0.1932,0.2287,0.8333,0.8904,0.8609,72306,8901,14461,3463,0:00:10.042166
