Epoch,Split,Loss,Precision_1,Recall_1,F1_1,Precision_0,Recall_0,F1_0,TN,FP,FN,TP,Time
1,train,0.5002,0.3385,0.1217,0.1791,0.8733,0.9622,0.9156,336974,13246,48895,6778,0:02:20.477496
1,val,0.5225,0.2509,0.1350,0.1756,0.8615,0.9303,0.8946,80485,6031,12938,2020,0:00:10.353203
1,test,0.5946,0.2972,0.1034,0.1535,0.8270,0.9460,0.8825,76823,4384,16070,1854,0:00:09.769272
2,train,0.4786,0.3766,0.2293,0.2851,0.8847,0.9396,0.9113,329084,21136,42905,12768,0:02:29.576617
2,val,0.5226,0.2956,0.1564,0.2045,0.8651,0.9356,0.8990,80941,5575,12619,2339,0:00:10.320414
2,test,0.5952,0.3155,0.1756,0.2256,0.8343,0.9159,0.8732,74377,6830,14776,3148,0:00:09.863969
3,train,0.4630,0.3933,0.3068,0.3447,0.8935,0.9248,0.9089,323870,26350,38592,17081,0:02:30.183894
3,val,0.5551,0.2640,0.1829,0.2161,0.8659,0.9118,0.8883,78889,7627,12222,2736,0:00:10.084647
3,test,0.6576,0.2898,0.1880,0.2280,0.8337,0.8983,0.8648,72952,8255,14555,3369,0:00:09.903554
4,train,0.4443,0.4199,0.3794,0.3986,0.9028,0.9167,0.9097,321036,29184,34551,21122,0:02:29.445609
4,val,0.5609,0.2679,0.1609,0.2011,0.8643,0.9240,0.8931,79938,6578,12551,2407,0:00:10.182828
4,test,0.6525,0.2970,0.1329,0.1836,0.8294,0.9306,0.8771,75568,5639,15542,2382,0:00:09.889251
5,train,0.4260,0.4459,0.4345,0.4402,0.9105,0.9142,0.9123,320159,30061,31481,24192,0:02:27.965502
5,val,0.6599,0.2151,0.2116,0.2133,0.8641,0.8665,0.8653,74965,11551,11793,3165,0:00:10.109328
5,test,0.7198,0.2406,0.1714,0.2002,0.8280,0.8806,0.8535,71507,9700,14851,3073,0:00:09.851794
6,train,0.4059,0.4645,0.4938,0.4787,0.9187,0.9095,0.9141,318531,31689,28183,27490,0:02:26.991983
6,val,0.5875,0.2344,0.3348,0.2757,0.8758,0.8109,0.8421,70156,16360,9950,5008,0:00:10.084924
6,test,0.6980,0.2587,0.3156,0.2844,0.8412,0.8004,0.8203,65000,16207,12267,5657,0:00:09.834594
7,train,0.3868,0.4893,0.5383,0.5127,0.9254,0.9107,0.9180,318939,31281,25702,29971,0:02:26.080225
7,val,0.6376,0.2223,0.2323,0.2272,0.8662,0.8595,0.8629,74362,12154,11483,3475,0:00:10.196385
7,test,0.7144,0.2578,0.2217,0.2384,0.8334,0.8591,0.8460,69766,11441,13950,3974,0:00:09.701903
8,train,0.3659,0.5138,0.5820,0.5458,0.9321,0.9125,0.9222,319559,30661,23269,32404,0:02:25.421211
8,val,0.6587,0.2497,0.1985,0.2212,0.8662,0.8969,0.8813,77595,8921,11989,2969,0:00:10.040692
8,test,0.7585,0.2716,0.2164,0.2409,0.8345,0.8719,0.8528,70806,10401,14045,3879,0:00:09.823795
9,train,0.3465,0.5331,0.6199,0.5732,0.9380,0.9137,0.9257,319990,30230,21161,34512,0:02:24.484586
9,val,0.7121,0.2272,0.3178,0.2650,0.8733,0.8131,0.8422,70350,16166,10204,4754,0:00:10.041261
9,test,0.7440,0.2629,0.3313,0.2931,0.8434,0.7950,0.8185,64556,16651,11986,5938,0:00:09.957591
10,train,0.3268,0.5553,0.6553,0.6012,0.9436,0.9166,0.9299,320998,29222,19189,36484,0:02:24.123071
10,val,0.8047,0.2532,0.2194,0.2351,0.8681,0.8881,0.8780,76837,9679,11676,3282,0:00:10.047247
10,test,0.8624,0.2954,0.2445,0.2676,0.8394,0.8713,0.8550,70753,10454,13541,4383,0:00:09.841161
