Epoch,Loss,Precision,Recall,F1,TN,FP,FN,TP
0,nan,0.0,0.0,0.0,873428,7,141273,0
1,nan,0.0,0.0,0.0,873435,0,141273,0
2,nan,0.0,0.0,0.0,873435,0,141273,0
3,nan,0.0,0.0,0.0,873435,0,141273,0
4,nan,0.0,0.0,0.0,873435,0,141273,0
5,nan,0.0,0.0,0.0,873435,0,141273,0
6,nan,0.0,0.0,0.0,873435,0,141273,0
7,nan,0.0,0.0,0.0,873435,0,141273,0
8,nan,0.0,0.0,0.0,873435,0,141273,0
9,nan,0.0,0.0,0.0,873435,0,141273,0
