Epoch,Split,Loss,Precision_1,Recall_1,F1_1,Precision_0,Recall_0,F1_0,TN,FP,FN,TP,Time
1,train,0.4307,0.3364,0.0067,0.0131,0.8634,0.9979,0.9258,349488,732,55302,371,0:02:21.526180
1,val,0.4544,0.1872,0.0049,0.0095,0.8527,0.9963,0.9190,86199,317,14885,73,0:00:10.643493
1,test,0.5328,0.3375,0.0030,0.0060,0.8194,0.9987,0.9002,81101,106,17870,54,0:00:10.489182
2,train,0.4193,0.4542,0.0197,0.0377,0.8647,0.9962,0.9258,348903,1317,54577,1096,0:02:26.288876
2,val,0.4487,0.2747,0.0017,0.0033,0.8527,0.9992,0.9202,86450,66,14933,25,0:00:10.630538
2,test,0.5236,0.3030,0.0017,0.0033,0.8193,0.9992,0.9003,81138,69,17894,30,0:00:10.652925
3,train,0.4123,0.4694,0.0462,0.0841,0.8674,0.9917,0.9254,347315,2905,53103,2570,0:02:29.361727
3,val,0.4493,0.2484,0.0279,0.0501,0.8543,0.9854,0.9152,85254,1262,14541,417,0:00:11.182851
3,test,0.5369,0.2767,0.0095,0.0184,0.8198,0.9945,0.8987,80760,447,17753,171,0:00:10.970124
4,train,0.4048,0.4837,0.0737,0.1279,0.8702,0.9875,0.9252,345843,4377,51572,4101,0:02:32.793597
4,val,0.4702,0.2301,0.0509,0.0834,0.8554,0.9705,0.9093,83966,2550,14196,762,0:00:11.399942
4,test,0.5409,0.2357,0.0274,0.0492,0.8204,0.9804,0.8933,79612,1595,17432,492,0:00:11.113738
5,train,0.3956,0.4995,0.1127,0.1839,0.8744,0.9821,0.9251,343934,6286,49399,6274,0:02:33.637783
5,val,0.4755,0.2737,0.1711,0.2106,0.8654,0.9215,0.8926,79726,6790,12399,2559,0:00:11.390245
5,test,0.5524,0.2843,0.1361,0.1841,0.8290,0.9244,0.8741,75064,6143,15484,2440,0:00:11.375568
6,train,0.3853,0.5110,0.1677,0.2525,0.8805,0.9745,0.9251,341284,8936,46336,9337,0:02:34.488532
6,val,0.4747,0.2863,0.1217,0.1708,0.8619,0.9475,0.9027,81977,4539,13137,1821,0:00:11.585447
6,test,0.5449,0.2923,0.1129,0.1629,0.8276,0.9397,0.8801,76307,4900,15900,2024,0:00:11.342273
7,train,0.3756,0.5230,0.2117,0.3014,0.8855,0.9693,0.9255,339467,10753,43885,11788,0:02:34.220399
7,val,0.4835,0.2419,0.0870,0.1280,0.8579,0.9529,0.9029,82439,4077,13657,1301,0:00:11.356035
7,test,0.5679,0.2952,0.0898,0.1377,0.8258,0.9527,0.8847,77366,3841,16315,1609,0:00:11.142846
8,train,0.3644,0.5424,0.2674,0.3582,0.8922,0.9641,0.9268,337658,12562,40785,14888,0:02:34.069331
8,val,0.5005,0.2505,0.0866,0.1288,0.8581,0.9552,0.9041,82639,3877,13662,1296,0:00:11.417145
8,test,0.5898,0.2943,0.0899,0.1377,0.8258,0.9524,0.8846,77344,3863,16313,1611,0:00:11.113201
9,train,0.3542,0.5535,0.3073,0.3952,0.8972,0.9606,0.9278,336422,13798,38565,17108,0:02:34.070069
9,val,0.5154,0.2560,0.1116,0.1555,0.8601,0.9439,0.9000,81663,4853,13288,1670,0:00:11.455408
9,test,0.5974,0.2856,0.1065,0.1551,0.8268,0.9412,0.8803,76431,4776,16015,1909,0:00:11.260860
10,train,0.3450,0.5642,0.3407,0.4248,0.9014,0.9582,0.9289,335567,14653,36706,18967,0:02:33.978990
10,val,0.5614,0.2477,0.1038,0.1463,0.8592,0.9455,0.9003,81803,4713,13406,1552,0:00:11.468521
10,test,0.6501,0.2892,0.1260,0.1755,0.8285,0.9316,0.8770,75656,5551,15666,2258,0:00:11.238273
