Epoch,Split,Loss,Precision_1,Recall_1,F1_1,Precision_0,Recall_0,F1_0,TN,FP,FN,TP,Time
1,train,0.4243,0.4182,0.0255,0.0481,0.8652,0.9944,0.9253,348243,1977,54252,1421,0:02:14.833418
1,val,0.4484,0.3804,0.0234,0.0441,0.8547,0.9934,0.9189,85946,570,14608,350,0:00:09.714753
1,test,0.5221,0.4094,0.0180,0.0345,0.8210,0.9943,0.8994,80741,466,17601,323,0:00:09.391892
2,train,0.4062,0.4836,0.0668,0.1174,0.8695,0.9887,0.9253,346249,3971,51954,3719,0:02:35.727092
2,val,0.4677,0.2862,0.0547,0.0918,0.8566,0.9764,0.9126,84476,2040,14140,818,0:00:10.179945
2,test,0.5539,0.3446,0.0427,0.0760,0.8229,0.9821,0.8955,79752,1455,17159,765,0:00:10.275265
3,train,0.3945,0.5005,0.1291,0.2052,0.8762,0.9795,0.9250,343048,7172,48486,7187,0:02:44.114864
3,val,0.4772,0.2449,0.0512,0.0847,0.8557,0.9727,0.9105,84154,2362,14192,766,0:00:10.939539
3,test,0.5542,0.2683,0.0380,0.0666,0.8215,0.9771,0.8926,79350,1857,17243,681,0:00:10.428216
4,train,0.3819,0.5220,0.1834,0.2715,0.8823,0.9733,0.9256,340870,9350,45461,10212,0:02:46.957240
4,val,0.4968,0.2393,0.1354,0.1730,0.8610,0.9256,0.8921,80075,6441,12932,2026,0:00:11.013011
4,test,0.5794,0.2726,0.0821,0.1262,0.8245,0.9517,0.8835,77281,3926,16453,1471,0:00:10.523652
5,train,0.3673,0.5413,0.2488,0.3409,0.8900,0.9665,0.9267,338483,11737,41821,13852,0:02:48.318266
5,val,0.5059,0.2441,0.1146,0.1560,0.8598,0.9387,0.8975,81209,5307,13244,1714,0:00:11.088198
5,test,0.5814,0.3067,0.1124,0.1645,0.8281,0.9439,0.8822,76653,4554,15909,2015,0:00:10.482823
6,train,0.3524,0.5578,0.3085,0.3973,0.8974,0.9611,0.9282,336602,13618,38496,17177,0:02:48.639677
6,val,0.5337,0.2206,0.1485,0.1775,0.8607,0.9092,0.8843,78664,7852,12736,2222,0:00:10.897433
6,test,0.6208,0.2147,0.0856,0.1224,0.8218,0.9309,0.8730,75593,5614,16389,1535,0:00:10.613394
7,train,0.3376,0.5783,0.3641,0.4468,0.9045,0.9578,0.9304,335436,14784,35403,20270,0:02:47.622787
7,val,0.5573,0.2514,0.2158,0.2322,0.8677,0.8889,0.8782,76904,9612,11730,3228,0:00:10.901294
7,test,0.6403,0.2706,0.2157,0.2401,0.8343,0.8716,0.8526,70782,10425,14057,3867,0:00:10.496912
8,train,0.3221,0.5987,0.4139,0.4894,0.9112,0.9559,0.9330,334776,15444,32631,23042,0:02:48.906996
8,val,0.5733,0.2442,0.0860,0.1272,0.8579,0.9540,0.9034,82532,3984,13671,1287,0:00:10.813668
8,test,0.7060,0.2763,0.0740,0.1168,0.8241,0.9572,0.8856,77731,3476,16597,1327,0:00:10.741354
9,train,0.3057,0.6150,0.4636,0.5287,0.9179,0.9539,0.9356,334064,16156,29865,25808,0:02:46.724352
9,val,0.6400,0.2353,0.2327,0.2340,0.8676,0.8693,0.8684,75208,11308,11478,3480,0:00:10.753836
9,test,0.6631,0.2944,0.2125,0.2468,0.8362,0.8876,0.8611,72078,9129,14115,3809,0:00:10.551001
10,train,0.2904,0.6329,0.5111,0.5655,0.9246,0.9529,0.9385,333714,16506,27218,28455,0:02:46.727534
10,val,0.5938,0.2667,0.1348,0.1791,0.8622,0.9359,0.8976,80974,5542,12942,2016,0:00:11.051617
10,test,0.7212,0.2794,0.1263,0.1740,0.8280,0.9281,0.8752,75367,5840,15660,2264,0:00:10.644860
11,train,0.2742,0.6489,0.5538,0.5975,0.9307,0.9524,0.9414,333536,16684,24844,30829,0:02:45.718278
11,val,0.6673,0.2434,0.1118,0.1532,0.8596,0.9399,0.8980,81319,5197,13286,1672,0:00:11.163783
11,test,0.7633,0.2767,0.1228,0.1701,0.8276,0.9291,0.8754,75453,5754,15723,2201,0:00:10.349174
12,train,0.2586,0.6690,0.5933,0.6289,0.9365,0.9533,0.9448,333879,16341,22644,33029,0:02:45.175877
12,val,0.7124,0.2346,0.1416,0.1766,0.8611,0.9201,0.8896,79606,6910,12840,2118,0:00:11.114537
12,test,0.8053,0.2382,0.1292,0.1675,0.8254,0.9088,0.8651,73800,7407,15608,2316,0:00:10.155278
13,train,0.2428,0.6874,0.6313,0.6582,0.9421,0.9544,0.9482,334233,15987,20525,35148,0:02:44.992171
13,val,0.6607,0.2416,0.2193,0.2300,0.8671,0.8810,0.8740,76219,10297,11677,3281,0:00:11.006428
13,test,0.8147,0.2694,0.2084,0.2350,0.8336,0.8752,0.8539,71073,10134,14188,3736,0:00:10.353872
14,train,0.2276,0.7033,0.6632,0.6827,0.9469,0.9555,0.9512,334640,15580,18748,36925,0:02:44.437843
14,val,0.7134,0.2497,0.2387,0.2441,0.8694,0.8760,0.8727,75786,10730,11387,3571,0:00:10.899272
14,test,0.8478,0.2859,0.2348,0.2578,0.8375,0.8706,0.8537,70696,10511,13716,4208,0:00:10.677119
15,train,0.2140,0.7214,0.6928,0.7068,0.9515,0.9575,0.9545,335327,14893,17101,38572,0:02:44.672396
15,val,0.7535,0.2427,0.2247,0.2334,0.8677,0.8788,0.8732,76031,10485,11597,3361,0:00:10.745188
15,test,0.8458,0.2700,0.2318,0.2494,0.8356,0.8617,0.8484,69975,11232,13770,4154,0:00:10.519161
16,train,0.2028,0.7328,0.7144,0.7235,0.9548,0.9586,0.9567,335720,14500,15898,39775,0:02:45.533735
16,val,0.8590,0.2427,0.1497,0.1852,0.8621,0.9193,0.8898,79531,6985,12719,2239,0:00:10.711048
16,test,0.9490,0.2963,0.1801,0.2240,0.8335,0.9056,0.8680,73542,7665,14696,3228,0:00:10.612641
17,train,0.1888,0.7515,0.7405,0.7460,0.9588,0.9611,0.9600,336589,13631,14447,41226,0:02:45.589945
17,val,0.8560,0.2329,0.1616,0.1908,0.8623,0.9080,0.8846,78556,7960,12541,2417,0:00:11.166902
17,test,0.9439,0.2598,0.1733,0.2079,0.8300,0.8910,0.8594,72358,8849,14818,3106,0:00:10.494348
18,train,0.1771,0.7654,0.7620,0.7637,0.9622,0.9629,0.9625,337216,13004,13252,42421,0:02:48.291024
18,val,0.8580,0.2254,0.2096,0.2172,0.8650,0.8755,0.8702,75742,10774,11823,3135,0:00:10.867930
18,test,0.9748,0.2726,0.2186,0.2426,0.8348,0.8712,0.8526,70748,10459,14005,3919,0:00:10.661578
19,train,0.1647,0.7801,0.7823,0.7812,0.9654,0.9650,0.9652,337945,12275,12122,43551,0:02:47.167884
19,val,0.8910,0.2334,0.1796,0.2030,0.8636,0.8980,0.8805,77693,8823,12271,2687,0:00:11.066977
19,test,1.0528,0.2786,0.1831,0.2209,0.8324,0.8954,0.8627,72712,8495,14643,3281,0:00:10.728338
