Epoch,Split,Loss,Precision_1,Recall_1,F1_1,Precision_0,Recall_0,F1_0,TN,FP,FN,TP,Time
1,train,0.5002,0.3367,0.1346,0.1923,0.8744,0.9579,0.9142,335466,14754,48182,7491,0:03:14.569599
1,val,0.5183,0.2777,0.0654,0.1058,0.8573,0.9706,0.9104,83972,2544,13980,978,0:00:16.047021
1,test,0.6014,0.3084,0.0695,0.1135,0.8246,0.9656,0.8896,78413,2794,16678,1246,0:00:15.311875
2,train,0.4785,0.3765,0.2335,0.2883,0.8851,0.9385,0.9110,328694,21526,42673,13000,0:03:13.608995
2,val,0.5483,0.2392,0.1565,0.1892,0.8624,0.9139,0.8874,79071,7445,12617,2341,0:00:15.506036
2,test,0.6257,0.2524,0.1004,0.1437,0.8247,0.9344,0.8761,75876,5331,16124,1800,0:00:15.199022
3,train,0.4618,0.3964,0.3144,0.3507,0.8945,0.9239,0.9090,323569,26651,38168,17505,0:03:12.893374
3,val,0.5527,0.2566,0.3010,0.2770,0.8754,0.8493,0.8621,73475,13041,10456,4502,0:00:15.617606
3,test,0.6277,0.2999,0.2390,0.2660,0.8392,0.8768,0.8576,71204,10003,13640,4284,0:00:15.116331
4,train,0.4447,0.4206,0.3766,0.3974,0.9025,0.9175,0.9100,321341,28879,34706,20967,0:03:12.925820
4,val,0.5755,0.2687,0.2370,0.2518,0.8707,0.8885,0.8795,76867,9649,11413,3545,0:00:15.482545
4,test,0.6318,0.2779,0.2968,0.2870,0.8424,0.8298,0.8361,67388,13819,12605,5319,0:00:15.115655
5,train,0.4262,0.4431,0.4325,0.4377,0.9101,0.9136,0.9119,319957,30263,31597,24076,0:03:12.944844
5,val,0.6474,0.2507,0.2054,0.2258,0.8668,0.8938,0.8801,77332,9184,11886,3072,0:00:15.468616
5,test,0.6995,0.2923,0.2011,0.2382,0.8350,0.8925,0.8628,72481,8726,14320,3604,0:00:15.102308
6,train,0.4081,0.4640,0.4803,0.4720,0.9169,0.9118,0.9143,319329,30891,28935,26738,0:03:13.144290
6,val,0.6581,0.2281,0.3301,0.2698,0.8745,0.8068,0.8393,69805,16711,10020,4938,0:00:15.525121
6,test,0.7056,0.2597,0.3051,0.2806,0.8405,0.8081,0.8240,65621,15586,12455,5469,0:00:15.084632
7,train,0.3880,0.4877,0.5287,0.5073,0.9241,0.9117,0.9178,319299,30921,26240,29433,0:03:13.383891
7,val,0.6687,0.3000,0.2512,0.2734,0.8741,0.8987,0.8862,77748,8768,11201,3757,0:00:15.460564
7,test,0.7754,0.3235,0.2371,0.2736,0.8410,0.8906,0.8651,72321,8886,13675,4249,0:00:15.109586
8,train,0.3674,0.5099,0.5740,0.5400,0.9309,0.9123,0.9215,319502,30718,23717,31956,0:03:13.295693
8,val,0.6724,0.2510,0.2218,0.2355,0.8681,0.8856,0.8767,76616,9900,11641,3317,0:00:15.845831
8,test,0.7378,0.2804,0.2359,0.2563,0.8371,0.8664,0.8515,70354,10853,13695,4229,0:00:15.652555
